date,Selangor AQI,Johor AQI,Penang AQI,NegeriSembilan AQI,Terrengganu AQI,Pahang AQI,Perlis AQI,Kl AQI,Kedah AQI,Perak AQI,Kelantan AQI,Putrajaya AQI
1/1/2021,59,33,53,43,40,46,53,57,51,46,54,50
1/2/2021,54,22,51,36,33,39,55,38,49,42,53,39
1/3/2021,53,16,51,47,30,36,50,41,46,38,50,47
1/4/2021,44,17,57,44,18,28,42,27,46,29,38,24
1/5/2021,66,19,47,52,15,29,38,45,35,35,25,47
1/6/2021,52,22,37,47,18,24,33,43,29,26,28,48
1/7/2021,55,21,40,44,23,21,21,44,26,38,28,52
1/8/2021,67,23,43,34,26,25,28,43,31,33,41,50
1/9/2021,56,26,44,32,29,29,33,29,34,38,41,34
1/10/2021,50,21,40,32,32,28,40,29,40,43,46,31
1/11/2021,54,20,46,36,28,30,47,37,44,40,42,47
1/12/2021,60,26,47,42,32,32,47,39,43,44,42,46
1/13/2021,55,27,46,42,34,33,52,39,44,46,37,37
1/14/2021,60,36,51,52,46,45,61,49,51,46,45,55
1/15/2021,60,50,54,50,55,53,53,51,50,47,60,51
1/16/2021,59,49,60,54,52,57,58,58,54,50,60,52
1/17/2021,67,40,56,54,47,54,56,57,52,54,62,59
1/18/2021,58,45,60,56,49,53,59,54,58,52,60,54
1/19/2021,61,51,69,54,54,56,59,55,60,59,61,53
1/20/2021,62,52,67,53,62,58,57,54,62,60,65,56
1/21/2021,69,55,67,60,64,60,54,62,58,62,74,67
1/22/2021,70,51,63,68,66,63,64,60,61,62,83,66
1/23/2021,72,49,69,64,48,55,61,63,64,59,64,61
1/24/2021,68,36,70,48,31,38,64,54,65,52,54,52
1/25/2021,66,35,63,54,33,43,49,60,54,49,53,55
1/26/2021,62,31,60,64,49,46,48,59,52,44,61,58
1/27/2021,68,34,61,65,45,55,49,65,56,51,57,64
1/28/2021,66,31,55,50,28,38,30,56,41,46,40,58
1/29/2021,56,34,50,44,35,43,43,52,47,41,48,52
1/30/2021,68,40,59,48,46,52,52,61,53,58,56,56
1/31/2021,68,48,69,56,57,61,61,58,57,59,64,60
