date,Johor AQI
1/1/2021,33
1/2/2021,22
1/3/2021,16
1/4/2021,17
1/5/2021,19
1/6/2021,22
1/7/2021,21
1/8/2021,23
1/9/2021,26
1/10/2021,21
1/11/2021,20
1/12/2021,26
1/13/2021,27
1/14/2021,36
1/15/2021,50
1/16/2021,49
1/17/2021,40
1/18/2021,45
1/19/2021,51
1/20/2021,52
1/21/2021,55
1/22/2021,51
1/23/2021,49
1/24/2021,36
1/25/2021,35
1/26/2021,31
1/27/2021,34
1/28/2021,31
1/29/2021,34
1/30/2021,40
1/31/2021,48
2/1/2021,42
2/2/2021,38
2/3/2021,37
2/4/2021,44
2/5/2021,37
2/6/2021,35
2/7/2021,41
2/8/2021,38
2/9/2021,39
2/10/2021,39
2/11/2021,36
2/12/2021,37
2/13/2021,43
2/14/2021,50
2/15/2021,55
2/16/2021,60
2/17/2021,59
2/18/2021,52
2/19/2021,44
2/20/2021,53
2/21/2021,52
2/22/2021,50
2/23/2021,54
2/24/2021,61
2/25/2021,66
2/26/2021,69
2/27/2021,70
2/28/2021,69
3/1/2021,68
3/2/2021,67
3/3/2021,57
3/4/2021,59
3/5/2021,49
3/6/2021,46
3/7/2021,43
3/8/2021,46
3/9/2021,49
3/10/2021,55
3/11/2021,57
3/12/2021,45
3/13/2021,36
3/14/2021,43
3/15/2021,44
3/16/2021,46
3/17/2021,49
3/18/2021,49
3/19/2021,53
3/20/2021,52
3/21/2021,53
3/22/2021,48
3/23/2021,42
3/24/2021,27
3/25/2021,27
3/26/2021,30
3/29/2021,38
3/30/2021,48
3/31/2021,47
4/1/2021,47
4/2/2021,52
4/3/2021,48
4/4/2021,44
4/5/2021,46
4/6/2021,42
4/7/2021,37
4/8/2021,40
4/9/2021,45
4/10/2021,54
4/11/2021,59
4/12/2021,56
4/13/2021,54
4/14/2021,55
4/15/2021,56
4/16/2021,55
4/17/2021,54
4/18/2021,52
4/19/2021,59
4/20/2021,61
4/21/2021,62
4/22/2021,58
4/23/2021,45
4/24/2021,45
4/25/2021,43
4/26/2021,55
4/27/2021,59
4/28/2021,59
4/29/2021,55
4/30/2021,53
5/1/2021,45
5/2/2021,33
5/3/2021,32
5/4/2021,38
5/5/2021,39
5/6/2021,40
5/7/2021,51
5/19/2021,39
5/20/2021,50
5/21/2021,49
5/22/2021,44
5/23/2021,50
5/24/2021,52
5/25/2021,49
5/26/2021,47
5/27/2021,45
5/28/2021,50
5/29/2021,50
5/30/2021,47
5/31/2021,50
6/1/2021,52
6/2/2021,52
6/3/2021,46
6/4/2021,43
6/5/2021,48
6/6/2021,62
6/7/2021,59
6/8/2021,56
6/9/2021,60
6/10/2021,63
6/11/2021,62
6/12/2021,62
6/13/2021,53
6/14/2021,42
6/15/2021,48
6/16/2021,45
6/17/2021,53
6/18/2021,45
6/19/2021,46
6/20/2021,50
6/21/2021,50
6/22/2021,58
6/23/2021,50
6/24/2021,52
6/25/2021,54
6/26/2021,49
6/27/2021,54
6/28/2021,54
6/29/2021,44
6/30/2021,35
7/1/2021,37
7/2/2021,32
7/3/2021,38
7/4/2021,40
7/5/2021,40
7/6/2021,46
7/7/2021,61
7/8/2021,64
7/9/2021,54
7/10/2021,41
7/11/2021,36
7/12/2021,25
7/13/2021,26
7/14/2021,32
7/15/2021,47
7/16/2021,52
7/17/2021,54
7/18/2021,58
7/19/2021,60
7/20/2021,58
7/21/2021,56
7/22/2021,57
7/23/2021,57
7/24/2021,49
7/25/2021,53
7/26/2021,54
7/27/2021,52
7/28/2021,56
7/29/2021,58
7/30/2021,63
7/31/2021,64
8/1/2021,56
8/2/2021,49
8/3/2021,53
8/4/2021,47
8/5/2021,41
8/6/2021,50
8/7/2021,44
8/8/2021,48
8/9/2021,46
8/10/2021,49
8/11/2021,46
8/12/2021,44
8/13/2021,45
8/14/2021,39
8/15/2021,32
8/16/2021,30
8/17/2021,36
8/18/2021,35
8/19/2021,33
8/20/2021,37
8/21/2021,44
8/22/2021,46
9/9/2021,46
9/10/2021,49
9/11/2021,48
9/12/2021,54
9/13/2021,48
9/14/2021,50
9/15/2021,52
9/16/2021,40
9/17/2021,37
9/18/2021,38
9/19/2021,41
9/20/2021,42
9/21/2021,53
9/22/2021,52
9/23/2021,50
9/24/2021,46
9/25/2021,52
9/26/2021,51
9/27/2021,40
9/28/2021,36
9/29/2021,47
9/30/2021,48
