date,Kelantan AQI
1/1/2021,54
1/2/2021,53
1/3/2021,50
1/4/2021,38
1/5/2021,25
1/6/2021,28
1/7/2021,28
1/8/2021,41
1/9/2021,41
1/10/2021,46
1/11/2021,42
1/12/2021,42
1/13/2021,37
1/14/2021,45
1/15/2021,60
1/16/2021,60
1/17/2021,62
1/18/2021,60
1/19/2021,61
1/20/2021,65
1/21/2021,74
1/22/2021,83
1/23/2021,64
1/24/2021,54
1/25/2021,53
1/26/2021,61
1/27/2021,57
1/28/2021,40
1/29/2021,48
1/30/2021,56
1/31/2021,64
2/1/2021,50
2/2/2021,44
2/3/2021,55
2/4/2021,60
2/5/2021,66
2/6/2021,56
2/7/2021,55
2/8/2021,60
2/9/2021,55
2/10/2021,58
2/11/2021,60
2/12/2021,56
2/13/2021,58
2/14/2021,64
2/15/2021,72
2/16/2021,74
2/17/2021,73
2/18/2021,72
2/19/2021,60
2/20/2021,51
2/21/2021,61
2/22/2021,58
2/23/2021,78
2/24/2021,88
2/25/2021,84
2/26/2021,82
2/27/2021,84
2/28/2021,78
3/1/2021,69
3/2/2021,65
3/3/2021,60
3/4/2021,52
3/5/2021,45
3/6/2021,44
3/7/2021,52
3/8/2021,56
3/9/2021,60
3/10/2021,60
3/11/2021,57
3/12/2021,54
3/13/2021,50
3/14/2021,54
3/15/2021,56
3/16/2021,57
3/17/2021,60
3/18/2021,63
3/19/2021,59
3/20/2021,62
3/21/2021,60
3/22/2021,54
3/23/2021,44
3/24/2021,30
3/25/2021,24
3/26/2021,34
3/29/2021,42
3/30/2021,39
3/31/2021,42
4/1/2021,54
4/2/2021,43
4/3/2021,54
4/4/2021,62
4/5/2021,54
4/6/2021,50
4/7/2021,54
4/8/2021,48
4/9/2021,66
4/10/2021,72
4/11/2021,70
4/12/2021,61
4/13/2021,64
4/14/2021,54
4/15/2021,49
4/16/2021,60
4/17/2021,64
4/18/2021,63
4/19/2021,56
4/20/2021,52
4/21/2021,44
4/22/2021,42
4/23/2021,21
4/24/2021,31
4/25/2021,23
4/26/2021,30
4/27/2021,28
4/28/2021,34
4/29/2021,44
4/30/2021,58
5/1/2021,42
5/2/2021,46
5/3/2021,48
5/4/2021,54
5/5/2021,48
5/6/2021,46
5/7/2021,36
5/19/2021,30
5/20/2021,26
5/21/2021,39
5/22/2021,32
5/23/2021,35
5/24/2021,57
5/25/2021,58
5/26/2021,61
5/27/2021,50
5/28/2021,32
5/29/2021,45
5/30/2021,48
5/31/2021,55
6/1/2021,66
6/2/2021,56
6/3/2021,61
6/4/2021,64
6/5/2021,52
6/6/2021,30
6/7/2021,45
6/8/2021,66
6/9/2021,74
6/10/2021,58
6/11/2021,38
6/12/2021,56
6/13/2021,54
6/14/2021,42
6/15/2021,42
6/16/2021,36
6/17/2021,59
6/18/2021,44
6/19/2021,45
6/20/2021,32
6/21/2021,33
6/22/2021,40
6/23/2021,48
6/24/2021,48
6/25/2021,50
6/26/2021,29
6/27/2021,42
6/28/2021,36
6/29/2021,30
6/30/2021,33
7/1/2021,34
7/2/2021,48
7/3/2021,60
7/4/2021,37
7/5/2021,55
7/6/2021,38
7/7/2021,27
7/8/2021,62
7/9/2021,52
7/10/2021,30
7/11/2021,20
7/12/2021,48
7/13/2021,49
7/14/2021,34
7/15/2021,44
7/16/2021,54
7/17/2021,67
7/18/2021,75
7/19/2021,68
7/20/2021,76
