date,Kl AQI
1/1/2021,57
1/2/2021,38
1/3/2021,41
1/4/2021,27
1/5/2021,45
1/6/2021,43
1/7/2021,44
1/8/2021,43
1/9/2021,29
1/10/2021,29
1/11/2021,37
1/12/2021,39
1/13/2021,39
1/14/2021,49
1/15/2021,51
1/16/2021,58
1/17/2021,57
1/18/2021,54
1/19/2021,55
1/20/2021,54
1/21/2021,62
1/22/2021,60
1/23/2021,63
1/24/2021,54
1/25/2021,60
1/26/2021,59
1/27/2021,65
1/28/2021,56
1/29/2021,52
1/30/2021,61
1/31/2021,58
2/1/2021,57
2/2/2021,33
2/3/2021,52
2/4/2021,62
2/5/2021,55
2/6/2021,50
2/7/2021,53
2/8/2021,59
2/9/2021,62
2/10/2021,62
2/11/2021,64
2/12/2021,56
2/13/2021,51
2/14/2021,56
2/15/2021,59
2/16/2021,67
2/17/2021,69
2/18/2021,68
2/19/2021,59
2/20/2021,52
2/21/2021,50
2/22/2021,54
2/23/2021,61
2/24/2021,71
2/25/2021,73
2/26/2021,62
2/27/2021,57
2/28/2021,57
3/1/2021,69
3/2/2021,89
3/3/2021,72
3/4/2021,66
3/5/2021,55
3/6/2021,58
3/7/2021,52
3/8/2021,55
3/9/2021,63
3/10/2021,67
3/11/2021,62
3/12/2021,55
3/13/2021,53
3/14/2021,58
3/15/2021,62
3/16/2021,59
3/17/2021,63
3/18/2021,60
3/19/2021,70
3/20/2021,78
3/21/2021,76
3/22/2021,69
3/23/2021,62
3/24/2021,46
3/25/2021,39
3/26/2021,39
3/29/2021,53
3/30/2021,60
3/31/2021,56
4/1/2021,56
4/2/2021,57
4/3/2021,61
4/4/2021,55
4/5/2021,53
4/6/2021,56
4/7/2021,59
4/8/2021,53
4/9/2021,62
4/10/2021,64
4/11/2021,66
4/12/2021,62
4/13/2021,62
4/14/2021,58
4/15/2021,64
4/16/2021,65
4/17/2021,64
4/18/2021,50
4/19/2021,56
4/20/2021,57
4/21/2021,56
4/22/2021,56
4/23/2021,51
4/24/2021,51
4/25/2021,50
4/26/2021,55
4/27/2021,64
4/28/2021,64
4/29/2021,61
4/30/2021,63
5/1/2021,51
5/2/2021,47
5/3/2021,47
5/4/2021,50
5/5/2021,56
5/6/2021,51
5/7/2021,55
5/19/2021,56
5/20/2021,62
5/21/2021,68
5/22/2021,67
5/23/2021,69
5/24/2021,75
5/25/2021,70
5/26/2021,59
5/27/2021,54
5/28/2021,53
5/29/2021,56
5/30/2021,58
5/31/2021,52
6/1/2021,52
6/2/2021,56
6/3/2021,53
6/4/2021,55
6/5/2021,53
6/6/2021,59
6/7/2021,58
6/8/2021,64
6/9/2021,68
6/10/2021,59
6/11/2021,54
6/12/2021,63
6/13/2021,60
6/14/2021,58
6/15/2021,52
6/16/2021,48
6/17/2021,41
6/18/2021,61
6/19/2021,65
6/20/2021,67
6/21/2021,56
6/22/2021,54
6/23/2021,48
6/24/2021,56
6/25/2021,56
6/26/2021,51
6/27/2021,53
6/28/2021,59
6/29/2021,51
6/30/2021,43
7/1/2021,57
7/2/2021,57
7/3/2021,54
7/4/2021,59
7/5/2021,60
7/6/2021,57
7/7/2021,48
7/8/2021,58
7/9/2021,58
7/10/2021,55
7/11/2021,41
7/12/2021,31
7/13/2021,34
7/14/2021,45
7/15/2021,51
7/16/2021,55
7/17/2021,61
7/18/2021,64
7/19/2021,59
7/20/2021,56
7/21/2021,56
7/22/2021,57
7/23/2021,54
7/24/2021,54
7/25/2021,60
7/26/2021,65
7/27/2021,61
7/28/2021,62
7/29/2021,62
7/30/2021,65
7/31/2021,68
8/1/2021,55
8/2/2021,54
8/3/2021,59
8/4/2021,57
8/5/2021,57
8/6/2021,55
8/7/2021,58
8/8/2021,57
8/9/2021,50
8/10/2021,41
8/11/2021,49
8/12/2021,54
8/13/2021,57
8/14/2021,57
8/15/2021,62
8/16/2021,44
8/17/2021,35
8/18/2021,37
8/19/2021,32
8/20/2021,39
8/21/2021,40
8/22/2021,49
9/9/2021,59
9/10/2021,57
9/11/2021,58
9/12/2021,65
9/13/2021,51
9/14/2021,49
9/15/2021,64
9/16/2021,56
9/17/2021,48
9/18/2021,46
9/19/2021,49
9/20/2021,32
9/21/2021,47
9/22/2021,57
9/23/2021,44
9/24/2021,57
9/25/2021,63
9/26/2021,64
9/27/2021,48
9/28/2021,46
9/29/2021,48
9/30/2021,45
10/1/2021,47
10/2/2021,44
10/3/2021,56
10/4/2021,70
10/5/2021,64
10/6/2021,49
10/7/2021,43
10/8/2021,51
10/9/2021,64
10/10/2021,65
10/11/2021,62
10/12/2021,57
10/13/2021,54
10/14/2021,63
10/15/2021,60
10/16/2021,57
10/17/2021,61
10/18/2021,56
10/19/2021,54
10/20/2021,56
10/21/2021,42
10/22/2021,53
10/23/2021,52
10/24/2021,48
10/25/2021,49
10/26/2021,53
10/27/2021,49
10/28/2021,48
10/29/2021,56
10/30/2021,59
10/31/2021,56
11/1/2021,53
11/2/2021,49
11/3/2021,50
11/4/2021,63
11/5/2021,56
11/6/2021,54
11/7/2021,55
11/8/2021,45
11/9/2021,52
11/10/2021,54
11/11/2021,46
11/12/2021,46
11/13/2021,36
11/14/2021,42
11/15/2021,57
11/16/2021,65
11/17/2021,59
11/18/2021,53
11/19/2021,54
11/20/2021,48
11/21/2021,52
11/22/2021,51
11/23/2021,51
11/24/2021,56
11/25/2021,55
11/26/2021,58
11/27/2021,58
11/28/2021,56
11/29/2021,45
11/30/2021,43
12/1/2021,53
12/2/2021,57
12/3/2021,53
12/4/2021,54
12/5/2021,54
12/6/2021,57
12/7/2021,58
12/8/2021,54
12/9/2021,62
12/10/2021,60
12/11/2021,58
12/12/2021,55
12/13/2021,59
12/14/2021,57
12/15/2021,57
12/16/2021,56
12/27/2021,56
12/28/2021,61
12/29/2021,64
12/30/2021,57
12/31/2021,38
