date,NegeriSembilan AQI
1/1/2021,43
1/2/2021,36
1/3/2021,47
1/4/2021,44
1/5/2021,52
1/6/2021,47
1/7/2021,44
1/8/2021,34
1/9/2021,32
1/10/2021,32
1/11/2021,36
1/12/2021,42
1/13/2021,42
1/14/2021,52
1/15/2021,50
1/16/2021,54
1/17/2021,54
1/18/2021,56
1/19/2021,54
1/20/2021,53
1/21/2021,60
1/22/2021,68
1/23/2021,64
1/24/2021,48
1/25/2021,54
1/26/2021,64
1/27/2021,65
1/28/2021,50
1/29/2021,44
1/30/2021,48
1/31/2021,56
2/1/2021,58
2/2/2021,48
2/3/2021,51
2/4/2021,58
2/5/2021,54
2/6/2021,57
2/7/2021,50
2/8/2021,57
2/9/2021,56
2/10/2021,63
2/11/2021,56
2/12/2021,46
2/13/2021,42
2/14/2021,50
2/15/2021,62
2/16/2021,68
2/17/2021,70
2/18/2021,66
2/19/2021,56
2/20/2021,47
2/21/2021,51
2/22/2021,54
2/23/2021,61
2/24/2021,76
2/25/2021,80
2/26/2021,76
2/27/2021,65
2/28/2021,66
3/1/2021,74
3/2/2021,90
3/3/2021,74
3/4/2021,64
3/5/2021,53
3/6/2021,56
3/7/2021,48
3/8/2021,46
3/9/2021,60
3/10/2021,70
3/11/2021,66
3/12/2021,55
3/13/2021,59
3/14/2021,57
3/15/2021,56
3/16/2021,60
3/17/2021,59
3/18/2021,59
3/19/2021,66
3/20/2021,73
3/21/2021,72
3/22/2021,68
3/23/2021,55
3/24/2021,40
3/25/2021,33
3/26/2021,34
3/29/2021,49
3/30/2021,50
3/31/2021,48
4/1/2021,56
4/2/2021,63
4/3/2021,61
4/4/2021,54
4/5/2021,56
4/6/2021,54
4/7/2021,50
4/8/2021,52
4/9/2021,56
4/10/2021,59
4/11/2021,66
4/12/2021,65
4/13/2021,58
4/14/2021,54
4/15/2021,64
4/16/2021,64
4/17/2021,64
4/18/2021,50
4/19/2021,53
4/20/2021,60
4/21/2021,64
4/22/2021,58
4/23/2021,43
4/24/2021,50
4/25/2021,50
4/26/2021,56
4/27/2021,67
4/28/2021,66
4/29/2021,62
4/30/2021,60
5/1/2021,46
5/2/2021,34
5/3/2021,38
5/4/2021,44
5/5/2021,46
5/6/2021,44
5/7/2021,57
5/19/2021,49
5/20/2021,57
5/21/2021,66
5/22/2021,54
5/23/2021,62
5/24/2021,74
5/25/2021,68
5/26/2021,64
5/27/2021,60
5/28/2021,53
5/29/2021,58
5/30/2021,53
5/31/2021,53
6/1/2021,48
6/2/2021,54
6/3/2021,55
6/4/2021,54
6/5/2021,55
6/6/2021,60
6/7/2021,58
6/8/2021,59
6/9/2021,64
6/10/2021,56
6/11/2021,56
6/12/2021,64
6/13/2021,63
6/14/2021,57
6/15/2021,46
6/16/2021,44
6/17/2021,44
6/18/2021,50
6/19/2021,59
6/20/2021,58
6/21/2021,54
6/22/2021,54
6/23/2021,48
6/24/2021,57
6/25/2021,57
6/26/2021,46
6/27/2021,51
6/28/2021,61
6/29/2021,56
6/30/2021,44
7/1/2021,56
7/2/2021,55
7/3/2021,56
7/4/2021,57
7/5/2021,51
7/6/2021,54
7/7/2021,48
7/8/2021,63
7/9/2021,64
7/10/2021,59
7/11/2021,44
7/12/2021,25
7/13/2021,32
7/14/2021,40
7/15/2021,50
7/16/2021,60
7/17/2021,63
7/18/2021,60
7/19/2021,62
7/20/2021,57
7/21/2021,56
7/22/2021,58
7/23/2021,54
7/24/2021,42
7/25/2021,60
7/26/2021,64
7/27/2021,57
7/28/2021,58
7/29/2021,60
7/30/2021,64
7/31/2021,68
8/1/2021,54
8/2/2021,48
8/3/2021,49
8/4/2021,51
8/5/2021,49
8/6/2021,50
8/7/2021,58
8/8/2021,58
8/9/2021,54
8/10/2021,46
8/11/2021,47
8/12/2021,56
8/13/2021,54
8/14/2021,50
8/15/2021,50
8/16/2021,33
8/17/2021,32
8/18/2021,40
8/19/2021,33
8/20/2021,43
8/21/2021,48
8/22/2021,56
9/9/2021,54
9/10/2021,47
9/11/2021,55
9/12/2021,63
9/13/2021,50
9/14/2021,48
9/15/2021,58
9/16/2021,54
9/17/2021,46
9/18/2021,44
9/19/2021,43
9/20/2021,32
9/21/2021,44
9/22/2021,46
9/23/2021,46
9/24/2021,56
9/25/2021,56
9/26/2021,57
9/27/2021,38
9/28/2021,38
9/29/2021,44
9/30/2021,39
10/1/2021,40
10/2/2021,46
10/3/2021,52
10/4/2021,66
10/5/2021,70
10/6/2021,58
10/7/2021,53
10/8/2021,58
10/9/2021,59
10/10/2021,64
10/11/2021,60
10/12/2021,49
10/13/2021,53
10/14/2021,60
10/15/2021,56
10/16/2021,58
10/17/2021,60
10/18/2021,56
10/19/2021,50
10/20/2021,50
10/21/2021,37
10/22/2021,53
10/23/2021,54
10/24/2021,50
10/25/2021,50
10/26/2021,54
10/27/2021,50
10/28/2021,47
10/29/2021,56
10/30/2021,60
10/31/2021,50
11/1/2021,48
11/2/2021,42
11/3/2021,45
11/4/2021,64
11/5/2021,50
11/6/2021,51
11/7/2021,50
11/8/2021,40
11/9/2021,44
11/10/2021,40
11/11/2021,38
11/12/2021,45
11/13/2021,50
11/14/2021,48
11/15/2021,62
11/16/2021,64
11/17/2021,57
11/18/2021,53
11/19/2021,54
11/20/2021,46
11/21/2021,47
11/22/2021,47
11/23/2021,44
11/24/2021,50
11/25/2021,48
11/26/2021,55
11/27/2021,55
11/28/2021,50
11/29/2021,40
11/30/2021,46
12/1/2021,50
12/2/2021,58
12/3/2021,50
