date,Perak AQI
1/1/2021,46
1/2/2021,42
1/3/2021,38
1/4/2021,29
1/5/2021,35
1/6/2021,26
1/7/2021,38
1/8/2021,33
1/9/2021,38
1/10/2021,43
1/11/2021,40
1/12/2021,44
1/13/2021,46
1/14/2021,46
1/15/2021,47
1/16/2021,50
1/17/2021,54
1/18/2021,52
1/19/2021,59
1/20/2021,60
1/21/2021,62
1/22/2021,62
1/23/2021,59
1/24/2021,52
1/25/2021,49
1/26/2021,44
1/27/2021,51
1/28/2021,46
1/29/2021,41
1/30/2021,58
1/31/2021,59
2/1/2021,62
2/2/2021,48
2/3/2021,47
2/4/2021,56
2/5/2021,54
2/6/2021,57
2/7/2021,53
2/8/2021,55
2/9/2021,58
2/10/2021,60
2/11/2021,56
2/12/2021,52
2/13/2021,48
2/14/2021,52
2/15/2021,58
2/16/2021,62
2/17/2021,68
2/18/2021,65
2/19/2021,62
2/20/2021,60
2/21/2021,61
2/22/2021,59
2/23/2021,66
2/24/2021,71
2/25/2021,73
2/26/2021,62
2/27/2021,56
2/28/2021,56
3/1/2021,59
3/2/2021,66
3/3/2021,67
3/4/2021,65
3/5/2021,63
3/6/2021,56
3/7/2021,49
3/8/2021,50
3/9/2021,56
3/10/2021,60
3/11/2021,60
3/12/2021,56
3/13/2021,49
3/14/2021,52
3/15/2021,53
3/16/2021,56
3/17/2021,54
3/18/2021,59
3/19/2021,64
3/20/2021,66
3/21/2021,64
3/22/2021,62
3/23/2021,58
3/24/2021,49
3/25/2021,44
3/26/2021,46
3/29/2021,41
3/30/2021,46
3/31/2021,48
4/1/2021,48
4/2/2021,52
4/3/2021,48
4/4/2021,46
4/5/2021,53
4/6/2021,58
4/7/2021,54
4/8/2021,50
4/9/2021,54
4/10/2021,58
4/11/2021,59
4/12/2021,56
4/13/2021,56
4/14/2021,51
4/15/2021,54
4/16/2021,53
4/17/2021,44
4/18/2021,44
4/19/2021,46
4/20/2021,42
4/21/2021,44
4/22/2021,46
4/23/2021,44
4/24/2021,44
4/25/2021,40
4/26/2021,44
4/27/2021,39
4/28/2021,43
4/29/2021,44
4/30/2021,48
5/1/2021,47
5/2/2021,46
5/3/2021,46
5/4/2021,46
5/5/2021,41
5/6/2021,40
5/7/2021,39
5/19/2021,46
5/20/2021,44
5/21/2021,52
5/22/2021,50
5/23/2021,55
5/24/2021,59
5/25/2021,64
5/26/2021,65
5/27/2021,57
5/28/2021,46
5/29/2021,54
5/30/2021,55
5/31/2021,48
6/1/2021,49
6/2/2021,50
6/3/2021,49
6/4/2021,48
