date,Penang AQI
1/1/2021,53
1/2/2021,51
1/3/2021,51
1/4/2021,57
1/5/2021,47
1/6/2021,37
1/7/2021,40
1/8/2021,43
1/9/2021,44
1/10/2021,40
1/11/2021,46
1/12/2021,47
1/13/2021,46
1/14/2021,51
1/15/2021,54
1/16/2021,60
1/17/2021,56
1/18/2021,60
1/19/2021,69
1/20/2021,67
1/21/2021,67
1/22/2021,63
1/23/2021,69
1/24/2021,70
1/25/2021,63
1/26/2021,60
1/27/2021,61
1/28/2021,55
1/29/2021,50
1/30/2021,59
1/31/2021,69
2/1/2021,64
2/2/2021,53
2/3/2021,58
2/4/2021,66
2/5/2021,57
2/6/2021,60
2/7/2021,65
2/8/2021,60
2/9/2021,60
2/10/2021,58
2/11/2021,59
2/12/2021,58
2/13/2021,57
2/14/2021,57
2/15/2021,61
2/16/2021,67
2/17/2021,73
2/18/2021,70
2/19/2021,57
2/20/2021,54
2/21/2021,57
2/22/2021,61
2/23/2021,67
2/24/2021,76
2/25/2021,75
2/26/2021,63
2/27/2021,62
2/28/2021,59
3/1/2021,60
3/2/2021,76
3/3/2021,68
3/4/2021,59
3/5/2021,66
3/6/2021,60
3/7/2021,53
3/8/2021,56
3/9/2021,58
3/10/2021,63
3/11/2021,62
3/12/2021,60
3/13/2021,56
3/14/2021,56
3/15/2021,58
3/16/2021,58
3/17/2021,57
3/18/2021,56
3/19/2021,64
3/20/2021,70
3/21/2021,69
3/22/2021,61
3/23/2021,60
3/24/2021,51
3/25/2021,51
3/26/2021,52
3/29/2021,45
3/30/2021,49
3/31/2021,58
4/1/2021,55
4/2/2021,50
4/3/2021,45
4/4/2021,52
4/5/2021,57
4/6/2021,64
4/7/2021,57
4/8/2021,58
4/9/2021,56
4/10/2021,62
4/11/2021,60
4/12/2021,55
4/13/2021,60
4/14/2021,55
4/15/2021,50
4/16/2021,46
4/17/2021,33
4/18/2021,35
4/19/2021,37
4/20/2021,33
4/21/2021,42
4/22/2021,44
4/23/2021,36
4/24/2021,29
4/25/2021,32
4/26/2021,41
4/27/2021,32
4/28/2021,39
4/29/2021,39
4/30/2021,49
5/1/2021,49
5/2/2021,48
5/3/2021,39
5/4/2021,47
5/5/2021,45
5/6/2021,39
5/7/2021,43
5/19/2021,42
5/20/2021,40
5/21/2021,48
5/22/2021,43
5/23/2021,53
5/24/2021,53
5/25/2021,56
5/26/2021,61
5/27/2021,48
5/28/2021,36
5/29/2021,52
5/30/2021,58
5/31/2021,56
6/1/2021,53
6/2/2021,56
6/3/2021,61
6/4/2021,56
6/5/2021,52
6/6/2021,44
6/7/2021,54
6/8/2021,56
6/9/2021,54
6/10/2021,59
6/11/2021,43
6/12/2021,55
6/13/2021,63
6/14/2021,61
6/15/2021,60
6/16/2021,56
6/17/2021,58
6/18/2021,55
6/19/2021,57
6/20/2021,56
6/21/2021,42
6/22/2021,44
6/23/2021,55
6/24/2021,41
6/25/2021,37
6/26/2021,31
6/27/2021,43
6/28/2021,54
6/29/2021,48
6/30/2021,28
7/1/2021,39
7/2/2021,47
7/3/2021,49
7/4/2021,46
7/5/2021,40
7/6/2021,31
7/7/2021,39
7/8/2021,55
7/9/2021,59
7/10/2021,38
7/11/2021,25
7/12/2021,21
7/13/2021,37
7/14/2021,50
7/15/2021,60
7/16/2021,62
7/17/2021,67
7/18/2021,77
7/19/2021,78
7/20/2021,73
7/21/2021,70
7/22/2021,68
7/23/2021,60
7/24/2021,59
7/25/2021,65
7/26/2021,72
7/27/2021,71
7/28/2021,64
7/29/2021,62
7/30/2021,60
7/31/2021,37
8/1/2021,39
8/2/2021,31
8/3/2021,43
8/4/2021,38
8/5/2021,47
8/6/2021,60
8/7/2021,70
8/8/2021,58
8/9/2021,39
8/10/2021,28
8/11/2021,29
8/12/2021,42
8/13/2021,61
8/14/2021,60
8/15/2021,54
8/16/2021,41
8/17/2021,32
8/18/2021,32
8/19/2021,27
8/20/2021,28
8/21/2021,33
8/22/2021,46
9/9/2021,35
9/10/2021,36
9/11/2021,55
9/12/2021,60
9/13/2021,43
9/14/2021,38
9/15/2021,46
9/16/2021,55
9/17/2021,57
9/18/2021,59
9/19/2021,47
9/20/2021,34
9/21/2021,34
9/22/2021,39
9/23/2021,45
9/24/2021,61
9/25/2021,67
9/26/2021,58
9/27/2021,27
9/28/2021,30
9/29/2021,26
9/30/2021,33
10/1/2021,48
10/2/2021,41
10/3/2021,63
10/4/2021,65
10/5/2021,50
10/6/2021,29
10/7/2021,32
10/8/2021,30
10/9/2021,41
10/10/2021,51
10/11/2021,53
10/12/2021,59
10/13/2021,61
10/14/2021,56
10/15/2021,64
10/16/2021,72
10/17/2021,65
10/18/2021,44
10/19/2021,46
10/20/2021,35
10/21/2021,29
10/22/2021,41
10/23/2021,44
10/24/2021,39
10/25/2021,38
10/26/2021,48
10/27/2021,46
10/28/2021,51
10/29/2021,50
10/30/2021,51
10/31/2021,36
11/1/2021,36
11/2/2021,38
11/3/2021,39
11/4/2021,48
11/5/2021,43
11/6/2021,47
11/7/2021,40
11/8/2021,47
11/9/2021,49
11/10/2021,42
11/11/2021,29
11/12/2021,38
11/13/2021,31
11/14/2021,31
11/15/2021,40
11/16/2021,51
11/17/2021,43
11/18/2021,26
11/19/2021,27
11/20/2021,30
11/21/2021,37
11/22/2021,38
11/23/2021,39
11/24/2021,41
11/25/2021,49
11/26/2021,35
11/27/2021,38
11/28/2021,52
11/29/2021,40
11/30/2021,35
12/1/2021,41
12/2/2021,51
12/3/2021,36
12/4/2021,48
12/5/2021,52
12/6/2021,52
12/7/2021,56
12/8/2021,53
12/9/2021,53
12/10/2021,52
12/11/2021,50
12/12/2021,51
12/13/2021,54
12/14/2021,51
12/15/2021,48
12/16/2021,51
12/27/2021,54
12/28/2021,56
12/29/2021,57
12/30/2021,41
12/31/2021,31
