date,Putrajaya AQI
1/1/2021,50
1/2/2021,39
1/3/2021,47
1/4/2021,24
1/5/2021,47
1/6/2021,48
1/7/2021,52
1/8/2021,50
1/9/2021,34
1/10/2021,31
1/11/2021,47
1/12/2021,46
1/13/2021,37
1/14/2021,55
1/15/2021,51
1/16/2021,52
1/17/2021,59
1/18/2021,54
1/19/2021,53
1/20/2021,56
1/21/2021,67
1/22/2021,66
1/23/2021,61
1/24/2021,52
1/25/2021,55
1/26/2021,58
1/27/2021,64
1/28/2021,58
1/29/2021,52
1/30/2021,56
1/31/2021,60
2/1/2021,60
2/2/2021,43
2/3/2021,54
2/4/2021,63
2/5/2021,61
2/6/2021,60
2/7/2021,61
2/8/2021,57
2/9/2021,73
2/10/2021,65
2/11/2021,66
2/12/2021,52
2/13/2021,52
2/14/2021,55
2/15/2021,66
2/16/2021,66
2/17/2021,70
2/18/2021,69
2/19/2021,63
2/20/2021,55
2/21/2021,57
2/22/2021,60
2/23/2021,68
2/24/2021,74
2/25/2021,83
2/26/2021,65
2/27/2021,57
2/28/2021,59
3/1/2021,69
3/2/2021,92
3/3/2021,72
3/4/2021,69
3/5/2021,60
3/6/2021,60
3/7/2021,48
3/8/2021,48
3/9/2021,65
3/10/2021,80
3/11/2021,65
3/12/2021,59
3/13/2021,55
3/14/2021,56
3/15/2021,57
3/16/2021,54
3/17/2021,57
3/18/2021,58
3/19/2021,64
3/20/2021,69
3/21/2021,69
3/22/2021,64
3/23/2021,58
3/24/2021,50
3/25/2021,46
3/26/2021,42
3/29/2021,52
3/30/2021,51
3/31/2021,50
4/1/2021,58
4/2/2021,61
4/3/2021,58
4/4/2021,52
4/5/2021,51
4/6/2021,52
4/7/2021,55
4/8/2021,54
4/9/2021,57
4/10/2021,58
4/11/2021,64
4/12/2021,60
4/13/2021,57
4/14/2021,55
4/15/2021,61
4/16/2021,63
4/17/2021,59
4/18/2021,49
4/19/2021,54
4/20/2021,58
4/21/2021,58
4/22/2021,57
4/23/2021,49
4/24/2021,47
4/25/2021,53
4/26/2021,58
4/27/2021,66
4/28/2021,62
4/29/2021,61
4/30/2021,59
5/1/2021,48
5/2/2021,33
5/3/2021,41
5/4/2021,41
5/5/2021,52
5/6/2021,48
5/7/2021,56
5/19/2021,45
5/20/2021,56
5/21/2021,65
5/22/2021,56
5/23/2021,63
5/24/2021,71
5/25/2021,67
5/26/2021,63
5/27/2021,54
5/28/2021,54
5/29/2021,61
5/30/2021,55
5/31/2021,55
6/1/2021,55
6/2/2021,56
6/3/2021,56
6/4/2021,55
6/5/2021,51
6/6/2021,61
6/7/2021,58
6/8/2021,61
6/9/2021,63
