date,Selangor AQI
1/1/2021,59
1/2/2021,54
1/3/2021,53
1/4/2021,44
1/5/2021,66
1/6/2021,52
1/7/2021,55
1/8/2021,67
1/9/2021,56
1/10/2021,50
1/11/2021,54
1/12/2021,60
1/13/2021,55
1/14/2021,60
1/15/2021,60
1/16/2021,59
1/17/2021,67
1/18/2021,58
1/19/2021,61
1/20/2021,62
1/21/2021,69
1/22/2021,70
1/23/2021,72
1/24/2021,68
1/25/2021,66
1/26/2021,62
1/27/2021,68
1/28/2021,66
1/29/2021,56
1/30/2021,68
1/31/2021,68
2/1/2021,62
2/2/2021,52
2/3/2021,59
2/4/2021,69
2/5/2021,65
2/6/2021,64
2/7/2021,66
2/8/2021,65
2/9/2021,73
2/10/2021,72
2/11/2021,74
2/12/2021,65
2/13/2021,60
2/14/2021,63
2/15/2021,67
2/16/2021,72
2/17/2021,80
2/18/2021,77
2/19/2021,72
2/20/2021,69
2/21/2021,62
2/22/2021,64
2/23/2021,72
2/24/2021,79
2/25/2021,75
2/26/2021,66
2/27/2021,60
2/28/2021,60
3/1/2021,74
3/2/2021,96
3/3/2021,81
3/4/2021,78
3/5/2021,68
3/6/2021,62
3/7/2021,50
3/8/2021,63
3/9/2021,72
3/10/2021,71
3/11/2021,68
3/12/2021,62
3/13/2021,59
3/14/2021,60
3/15/2021,68
3/16/2021,64
3/17/2021,61
3/18/2021,64
3/19/2021,74
3/20/2021,80
3/21/2021,78
3/22/2021,72
3/23/2021,68
3/24/2021,58
3/25/2021,62
3/26/2021,64
3/29/2021,52
3/30/2021,62
3/31/2021,56
4/1/2021,61
4/2/2021,67
4/3/2021,60
4/4/2021,51
4/5/2021,55
4/6/2021,64
4/7/2021,70
4/8/2021,61
4/9/2021,64
4/10/2021,66
4/11/2021,67
4/12/2021,67
4/13/2021,64
4/14/2021,62
4/15/2021,68
4/16/2021,66
4/17/2021,69
4/18/2021,54
4/19/2021,57
4/20/2021,64
4/21/2021,60
4/22/2021,62
4/23/2021,52
4/24/2021,52
4/25/2021,56
4/26/2021,69
4/27/2021,68
4/28/2021,65
4/29/2021,71
4/30/2021,68
5/1/2021,63
5/2/2021,53
5/3/2021,58
5/4/2021,60
5/5/2021,63
5/6/2021,58
5/7/2021,66
5/19/2021,60
